ts,serialNo,home,batteryVoltageMilliV,insideTemperatureCentiC,humidityMilliPerc
2018-10-23,VA2048854528,174376,2827.7913,2122.4824,654.78235
2018-10-24,VA2048854528,174376,2819.1494,2172.617,652.88477
2018-10-25,VA2048854528,174376,2813.7292,2127.2947,622.1637
2018-10-26,VA2048854528,174376,2808.0583,2139.554,607.61224
2018-10-27,VA2048854528,174376,2803.675,2127.2976,597.14545
2018-10-28,VA2048854528,174376,2799.9392,2137.2385,576.987
2018-10-29,VA2048854528,174376,2794.0676,2116.3657,555.8203
2018-10-30,VA2048854528,174376,2789.4626,2103.0706,545.1627
2018-10-31,VA2048854528,174376,2785.3665,2139.1858,561.5649
2018-11-01,VA2048854528,174376,2779.693,2055.0664,598.8133
2018-11-02,VA2048854528,174376,2775.6020000000008,1954.9718,597.6514
2018-11-03,VA2048854528,174376,2762.5215,1515.1989999999996,612.7527
2018-11-04,VA2048854528,174376,2757.388,1868.2916,578.1378
2018-11-05,VA2048854528,174376,2757.0444,2101.3857,606.82495
2018-11-06,VA2048854528,174376,2752.7324,2121.7993,633.2293
2018-11-07,VA2048854528,174376,2748.0476,2121.813,637.81635
2018-11-08,VA2048854528,174376,2744.253,2118.2246,624.69385
2018-11-09,VA2048854528,174376,2742.2405,2010.73,641.5992
2018-11-10,VA2048854528,174376,2742.0,1493.1342,678.7439
2018-11-11,VA2048854528,174376,2736.109000000001,1948.504,642.0968
2018-11-12,VA2048854528,174376,2739.1323,2085.7139,643.9908
2018-11-13,VA2048854528,174376,2730.8657,2101.6,635.81195
2018-11-14,VA2048854528,174376,2722.3174,2115.9807,634.3013
2018-11-15,VA2048854528,174376,2719.6013,2157.9595,652.9764
2018-11-16,VA2048854528,174376,2714.3823,2038.0541,670.695
2018-11-17,VA2048854528,174376,2709.7036,2118.1787,632.94116
2018-11-18,VA2048854528,174376,2708.9978,2161.4143,609.1144400000002
2018-11-19,VA2048854528,174376,2707.621,2058.7292,605.24786
2018-11-20,VA2048854528,174376,2705.7217,2134.7764,562.9902
2018-11-21,VA2048854528,174376,2714.8518,2009.2864,546.5728
2018-11-22,VA2048854528,174376,2721.277,1152.241,626.1084599999998
2018-11-23,VA2048854528,174376,2718.6519,1801.1538,589.5506
